 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.XXX.d: "The Gürtel case is the name of an investigation initiated in November 2007 by the Anti-Corruption Prosecutor's Office and denounced by the Prosecutor's Office in February 2009 before the Audiencia Nacional on a network of political corruption linked to the Popular Party, which operated mainly In the communities of Madrid and Valencia. The so-called Bárcenas case, which is a derivation of the Gürtel, and collects an accounting B of the PP (ie not declared to the Spanish Public Finance), receiving illegal donations from construction companies and delivery of black money to party leaders. The plot was headed by the quartet made up of businessman Francisco Correa and three of his trusted men: Álvaro Pérez Alonso dubbed "El Bigotes", Pablo Crespo and Antoine Sánchez. This group would have established a supposed business conglomerate in order to draw on funds from public entities, in particular from some municipalities and autonomous communities such as the Community of Madrid, Comunidad Valenciana and Galicia, as well as to avoid legal prohibitions in urban and environmental matters Which would have affected their real estate business."
 spain.XXX.01: ""

 spain.441.t: "Agenda Morada"
 spain.441.d: "Despite the growing popular opposition to the compromised measures taken so far by the Executive, we continue to trust in continuing to expand our government program."
 spain.441.o1: "Excellent"
 spain.442.t: "Agenda Naranja"
 spain.442.d: "As a result of growing popular opposition to the compromised measures taken so far by the Executive of Podemos has generated a crisis of government which has precipitated elections in which they have risen, against all pronostrico, the liberal option led by the Libertarian Party."
 spain.442.o1: "Excellent"
 spain.443.t: "Goverment's head"
 spain.443.d: "After a year of government of the P-LIB, we have to decide if we want to continue with our Head of Government, or to consider the election of a new person."
 spain.443.01: "Juan Pina"
 spain.443.02: "Carlos Rodríguez Braun"
 spain.443.03: "Juan Ramón Rallo"
 spain.444.t: "Economic Songs:"
 spain.444.d: "Professor Rodríguez Braun brings us a great music group. They have always classified themselves as Rock and Roll, although some say they were the pioneers of heavy metal. They are AC / DC with your theme 'Who mother who'. This song talks about the danger of technology."
 spain.444.o1: "Bueníiiiiisimo"
 spain.445.t: "Market Liberalization"
 spain.445.d: "Economic liberalization is related to classical liberalism and aims to promote economic development. In economics, a liberalization is, in a broad sense, the process by which one passes from an economy subject to State control to a market economy, reducing the capacity of the State to intervene directly or indirectly in a country's economy."
